Inventory_ID,Product_ID,Warehouse_ID,Supplier_ID,Stock_Quantity,Reorder_Level
I00097,110,W007,S043,669,46
I00098,110,W008,S027,50,55
I00099,110,W009,S035,382,94
I00100,110,W010,S015,606,30
I00101,111,W001,S048,272,69
I00102,111,W002,S043,289,198
I00103,111,W003,S001,685,47
I00104,111,W004,S043,915,47
I00105,111,W005,S043,833,44
I00106,111,W006,S033,584,165
I00107,111,W007,S013,756,179
I00108,111,W008,S022,726,65
I00109,111,W009,S032,276,80
I00110,111,W010,S049,554,125
I00111,112,W001,S045,60,41
I00112,112,W002,S045,778,33
I00113,112,W003,S007,638,143
I00114,112,W004,S035,720,21
I00115,112,W005,S044,760,28
I00116,112,W006,S037,436,196
I00117,112,W007,S025,343,154
I00118,112,W008,S043,968,184
I00119,112,W009,S009,554,66
I00120,112,W010,S042,669,159
I00121,113,W001,S039,232,83
I00122,113,W002,S020,322,32
I00123,113,W003,S010,828,160
I00124,113,W004,S003,643,177
I00125,113,W005,S002,712,31
I00126,113,W006,S045,860,147
I00127,113,W007,S028,130,54
I00128,113,W008,S002,608,96
I00129,113,W009,S014,148,63
I00130,113,W010,S048,995,191
I00131,114,W001,S040,423,113
I00132,114,W002,S029,567,180
I00133,114,W003,S030,572,112
I00134,114,W004,S029,52,52
I00135,114,W005,S001,93,153
I00136,114,W006,S037,875,147
I00137,114,W007,S040,756,57
I00138,114,W008,S035,50,50
I00139,114,W009,S030,832,93
I00140,114,W010,S018,688,99
I00141,115,W001,S001,628,67
I00142,115,W002,S034,195,60
I00143,115,W003,S032,350,189
I00144,115,W004,S017,675,164
I00145,115,W005,S007,348,177
I00146,115,W006,S009,736,53
I00147,115,W007,S034,743,69
I00148,115,W008,S033,540,38
I00149,115,W009,S013,928,158
I00150,115,W010,S022,879,57
I00151,116,W001,S025,923,103
I00152,116,W002,S003,652,85
I00153,116,W003,S036,84,199
I00154,116,W004,S004,72,77
I00155,116,W005,S036,625,169
I00156,116,W006,S029,534,184
I00157,116,W007,S030,606,118
I00158,116,W008,S017,874,142
I00159,116,W009,S044,163,31
I00160,116,W010,S027,438,139
I00161,117,W001,S015,238,173
I00162,117,W002,S006,324,96
I00163,117,W003,S038,315,164
I00164,117,W004,S042,759,170
I00165,117,W005,S026,465,131
I00166,117,W006,S002,473,147
I00167,117,W007,S033,831,162
I00168,117,W008,S026,443,115
I00169,117,W009,S006,93,82
I00170,117,W010,S037,506,195
I00171,118,W001,S036,220,197
I00172,118,W002,S007,175,86
I00173,118,W003,S008,358,25
I00174,118,W004,S020,821,61
I00175,118,W005,S020,389,124
I00176,118,W006,S044,418,192
I00177,118,W007,S003,706,156
I00178,118,W008,S045,440,168
I00179,118,W009,S032,148,92
I00180,118,W010,S014,252,20
I00181,119,W001,S045,928,188
I00182,119,W002,S011,69,35
I00183,119,W003,S042,81,121
I00184,119,W004,S003,293,49
I00185,119,W005,S014,185,176
I00186,119,W006,S007,589,64
I00187,119,W007,S022,265,77
I00188,119,W008,S009,929,62
I00189,119,W009,S013,761,144
I00190,119,W010,S002,982,189
I00191,120,W001,S022,843,33
I00192,120,W002,S026,612,190
I00193,120,W003,S004,755,21
I00194,120,W004,S037,633,23
I00195,120,W005,S007,314,102
I00196,120,W006,S017,189,110
I00197,120,W007,S046,331,46
I00198,120,W008,S039,199,104
I00199,120,W009,S038,676,83
I00200,120,W010,S005,973,49
I00201,121,W001,S013,668,144
I00202,121,W002,S003,708,79
I00203,121,W003,S033,645,64
I00204,121,W004,S016,406,60
I00205,121,W005,S028,302,101
I00206,121,W006,S013,720,98
I00207,121,W007,S032,117,85
I00208,121,W008,S005,615,187
I00209,121,W009,S028,680,167
I00210,121,W010,S001,310,94
I00211,122,W001,S004,488,57
I00212,122,W002,S001,827,138
I00213,122,W003,S048,373,119
I00214,122,W004,S032,929,36
I00215,122,W005,S014,710,92
I00216,122,W006,S016,815,150
I00217,122,W007,S029,789,75
I00218,122,W008,S007,243,131
I00219,122,W009,S036,657,146
I00220,122,W010,S035,379,85
I00221,123,W001,S012,441,86
I00222,123,W002,S033,824,177
I00223,123,W003,S004,364,186
I00224,123,W004,S004,695,129
I00225,123,W005,S032,141,178
I00226,123,W006,S002,77,199
I00227,123,W007,S026,507,133
I00228,123,W008,S004,133,23
I00229,123,W009,S021,909,156
I00230,123,W010,S028,918,182
I00231,124,W001,S004,693,50
I00232,124,W002,S005,256,71
I00233,124,W003,S038,880,42
I00234,124,W004,S004,592,145
I00235,124,W005,S009,53,123
I00236,124,W006,S006,710,116
I00237,124,W007,S024,510,38
I00238,124,W008,S010,288,193
I00239,124,W009,S023,394,180
I00240,124,W010,S045,415,67
I00241,125,W001,S046,837,65
I00242,125,W002,S008,555,157
I00243,125,W003,S029,558,161
I00244,125,W004,S015,504,69
I00245,125,W005,S009,536,108
I00246,125,W006,S024,50,153
I00247,125,W007,S016,845,58
I00248,125,W008,S033,705,187
I00249,125,W009,S008,402,67
I00250,125,W010,S013,688,101
I00251,126,W001,S025,958,181
I00252,126,W002,S021,600,68
I00253,126,W003,S038,492,28
I00254,126,W004,S020,436,29
I00255,126,W005,S013,53,40
I00256,126,W006,S044,955,70
I00257,126,W007,S032,907,188
I00258,126,W008,S009,272,126
I00259,126,W009,S010,219,115
I00260,126,W010,S002,867,132
I00261,127,W001,S033,837,157
I00262,127,W002,S024,587,149
I00263,127,W003,S048,707,94
I00264,127,W004,S035,551,182
I00265,127,W005,S048,748,180
I00266,127,W006,S044,994,155
I00267,127,W007,S014,649,101
I00268,127,W008,S006,269,47
I00269,127,W009,S041,157,171
I00270,127,W010,S004,128,171
I00271,128,W001,S023,950,49
I00272,128,W002,S049,879,43
I00273,128,W003,S025,802,35
I00274,128,W004,S020,314,142
I00275,128,W005,S016,863,93
I00276,128,W006,S030,586,167
I00277,128,W007,S036,999,36
I00278,128,W008,S026,877,78
I00279,128,W009,S019,971,195
I00280,128,W010,S027,388,74
I00281,129,W001,S026,780,80
I00282,129,W002,S007,698,185
I00283,129,W003,S012,379,93
I00284,129,W004,S009,67,77
I00285,129,W005,S023,156,43
I00286,129,W006,S006,885,181
I00287,129,W007,S029,771,61
I00288,129,W008,S024,563,58
I00289,129,W009,S048,850,84
I00290,129,W010,S002,634,149
I00291,130,W001,S038,323,132
I00292,130,W002,S022,206,114
I00293,130,W003,S022,974,149
I00294,130,W004,S048,59,48
I00295,130,W005,S021,199,62
I00296,130,W006,S023,710,71
I00297,130,W007,S005,184,52
I00298,130,W008,S031,136,88
I00299,130,W009,S001,485,124
I00300,130,W010,S009,184,101
I00301,131,W001,S001,300,22
I00302,131,W002,S003,891,60
I00303,131,W003,S003,321,84
I00304,131,W004,S005,371,79
I00305,131,W005,S023,680,190
I00306,131,W006,S002,167,127
I00307,131,W007,S016,265,83
I00308,131,W008,S011,574,55
I00309,131,W009,S041,403,178
I00310,131,W010,S036,329,125
I00311,132,W001,S013,792,82
I00312,132,W002,S010,786,43
I00313,132,W003,S044,438,103
I00314,132,W004,S010,368,68
I00315,132,W005,S027,75,89
I00316,132,W006,S047,186,154
I00317,132,W007,S040,799,124
I00318,132,W008,S006,485,79
I00319,132,W009,S033,178,82
I00320,132,W010,S044,379,168
I00321,133,W001,S026,532,66
I00322,133,W002,S013,151,181
I00323,133,W003,S012,604,49
I00324,133,W004,S042,77,91
I00325,133,W005,S038,154,196
I00326,133,W006,S027,235,144
I00327,133,W007,S035,331,98
I00328,133,W008,S040,805,193
I00329,133,W009,S049,377,172
I00330,133,W010,S031,646,28
I00331,134,W001,S035,814,54
I00332,134,W002,S048,207,165
I00333,134,W003,S013,107,101
I00334,134,W004,S031,847,197
I00335,134,W005,S020,59,22
I00336,134,W006,S043,809,20
I00337,134,W007,S048,715,190
I00338,134,W008,S036,109,189
I00339,134,W009,S043,180,87
I00340,134,W010,S005,634,177
I00341,135,W001,S007,684,32
I00342,135,W002,S006,282,78
I00343,135,W003,S036,477,53
I00344,135,W004,S007,835,165
I00345,135,W005,S045,552,34
I00346,135,W006,S010,536,35
I00347,135,W007,S026,434,90
I00348,135,W008,S050,611,58
I00349,135,W009,S013,582,146
I00350,135,W010,S008,274,114
I00351,136,W001,S030,763,161
I00352,136,W002,S030,346,179
I00353,136,W003,S008,124,100
I00354,136,W004,S037,143,75
I00355,136,W005,S011,288,82
I00356,136,W006,S030,465,36
I00357,136,W007,S029,288,122
I00358,136,W008,S024,949,150
I00359,136,W009,S050,430,198
I00360,136,W010,S026,587,35
I00361,137,W001,S048,816,123
I00362,137,W002,S049,843,126
I00363,137,W003,S011,63,127
I00364,137,W004,S022,482,110
I00365,137,W005,S011,117,61
I00366,137,W006,S006,940,42
I00367,137,W007,S005,262,121
I00368,137,W008,S013,457,46
I00369,137,W009,S003,982,33
I00370,137,W010,S049,967,161
I00371,138,W001,S034,744,105
I00372,138,W002,S030,119,187
I00373,138,W003,S016,461,127
I00374,138,W004,S039,866,137
I00375,138,W005,S050,461,142
I00376,138,W006,S043,562,92
I00377,138,W007,S017,956,161
I00378,138,W008,S020,357,46
I00379,138,W009,S011,239,143
I00380,138,W010,S050,399,126
I00381,139,W001,S037,365,107
I00382,139,W002,S042,321,33
I00383,139,W003,S043,600,70
I00384,139,W004,S029,354,58
I00385,139,W005,S022,569,176
I00386,139,W006,S028,573,136
I00387,139,W007,S015,783,193
I00388,139,W008,S006,276,96
I00389,139,W009,S043,610,42
I00390,139,W010,S023,504,29
I00391,140,W001,S024,760,82
I00392,140,W002,S020,356,97
I00393,140,W003,S046,171,115
I00394,140,W004,S039,266,54
I00395,140,W005,S003,779,166
I00396,140,W006,S005,299,91
I00397,140,W007,S007,242,57
I00398,140,W008,S044,888,69
I00399,140,W009,S021,551,137
I00400,140,W010,S007,177,176
I00401,141,W001,S003,926,71
I00402,141,W002,S047,645,195
I00403,141,W003,S041,64,94
I00404,141,W004,S042,275,189
I00405,141,W005,S043,875,138
I00406,141,W006,S015,656,90
I00407,141,W007,S016,189,159
I00408,141,W008,S016,397,169
I00409,141,W009,S024,810,116
I00410,141,W010,S023,607,91
I00411,142,W001,S006,772,125
I00412,142,W002,S031,617,91
I00413,142,W003,S011,434,147
I00414,142,W004,S013,433,73
I00415,142,W005,S017,500,60
I00416,142,W006,S012,330,184
I00417,142,W007,S031,256,53
I00418,142,W008,S032,244,171
I00419,142,W009,S013,832,42
I00420,142,W010,S016,357,163
I00421,143,W001,S034,941,191
I00422,143,W002,S036,832,99
I00423,143,W003,S021,243,106
I00424,143,W004,S018,483,85
I00425,143,W005,S033,955,44
I00426,143,W006,S039,348,174
I00427,143,W007,S009,469,153
I00428,143,W008,S034,349,137
I00429,143,W009,S020,294,88
I00430,143,W010,S020,55,27
I00431,144,W001,S046,534,54
I00432,144,W002,S018,890,29
I00433,144,W003,S018,753,86
I00434,144,W004,S028,253,46
I00435,144,W005,S019,829,164
I00436,144,W006,S007,638,64
I00437,144,W007,S013,710,32
I00438,144,W008,S021,836,200
I00439,144,W009,S043,98,108
I00440,144,W010,S033,947,193
I00441,145,W001,S050,473,42
I00442,145,W002,S030,338,79
I00443,145,W003,S025,781,81
I00444,145,W004,S022,453,164
I00445,145,W005,S005,436,190
I00446,145,W006,S017,754,176
I00447,145,W007,S038,738,183
I00448,145,W008,S029,578,102
I00449,145,W009,S008,527,125
I00450,145,W010,S007,988,53
I00451,146,W001,S040,370,63
I00452,146,W002,S035,584,126
I00453,146,W003,S027,209,118
I00454,146,W004,S033,547,187
I00455,146,W005,S044,996,45
I00456,146,W006,S034,562,126
I00457,146,W007,S034,475,55
I00458,146,W008,S026,975,124
I00459,146,W009,S025,151,168
I00460,146,W010,S042,271,59
I00461,147,W001,S003,937,116
I00462,147,W002,S022,703,59
I00463,147,W003,S012,371,156
I00464,147,W004,S039,633,144
I00465,147,W005,S022,322,22
I00466,147,W006,S024,277,181
I00467,147,W007,S029,983,30
I00468,147,W008,S009,605,104
I00469,147,W009,S035,628,145
I00470,147,W010,S004,715,105
I00471,148,W001,S043,774,200
I00472,148,W002,S018,437,77
I00473,148,W003,S004,507,44
I00474,148,W004,S024,777,51
I00475,148,W005,S037,959,56
I00476,148,W006,S034,62,103
I00477,148,W007,S021,474,126
I00478,148,W008,S024,87,98
I00479,148,W009,S036,202,49
I00480,148,W010,S005,596,21
I00481,149,W001,S031,140,100
I00482,149,W002,S030,123,119
I00483,149,W003,S024,746,116
I00484,149,W004,S018,124,138
I00485,149,W005,S005,375,172
I00486,149,W006,S042,792,34
I00487,149,W007,S009,149,112
I00488,149,W008,S018,406,186
I00489,149,W009,S015,930,158
I00490,149,W010,S025,466,74
I00491,150,W001,S036,737,82
I00492,150,W002,S016,457,172
I00493,150,W003,S015,320,135
I00494,150,W004,S021,904,199
I00495,150,W005,S023,405,77
I00496,150,W006,S041,542,66
I00497,150,W007,S037,556,69
I00498,150,W008,S027,973,164
I00499,150,W009,S003,525,27
I00500,150,W010,S043,874,123
I00501,151,W001,S015,138,152
I00502,151,W002,S033,711,110
I00503,151,W003,S021,765,57
I00504,151,W004,S021,278,142
I00505,151,W005,S044,559,163
I00506,151,W006,S008,194,88
I00507,151,W007,S010,489,51
I00508,151,W008,S043,202,170
I00509,151,W009,S002,272,160
I00510,151,W010,S033,70,149
I00511,152,W001,S030,869,162
I00512,152,W002,S035,852,161
I00513,152,W003,S025,677,24
I00514,152,W004,S004,390,166
I00515,152,W005,S047,308,75
I00516,152,W006,S033,231,83
I00517,152,W007,S006,785,175
I00518,152,W008,S023,770,143
I00519,152,W009,S035,807,145
I00520,152,W010,S012,734,35
I00521,153,W001,S041,866,24
I00522,153,W002,S039,619,46
I00523,153,W003,S004,249,196
I00524,153,W004,S031,885,130
I00525,153,W005,S035,916,78
I00526,153,W006,S001,796,28
I00527,153,W007,S022,159,94
I00528,153,W008,S048,851,99
I00529,153,W009,S018,938,110
I00530,153,W010,S001,462,198
I00531,154,W001,S016,994,53
I00532,154,W002,S044,266,126
I00533,154,W003,S032,896,39
I00534,154,W004,S033,328,170
I00535,154,W005,S010,413,53
I00536,154,W006,S031,155,195
I00537,154,W007,S035,179,132
I00538,154,W008,S005,94,36
I00539,154,W009,S038,508,42
I00540,154,W010,S045,516,33
I00541,155,W001,S046,534,42
I00542,155,W002,S018,558,35
I00543,155,W003,S023,756,148
I00544,155,W004,S003,506,77
I00545,155,W005,S008,80,199
I00546,155,W006,S003,985,195
I00547,155,W007,S018,202,177
I00548,155,W008,S044,371,200
I00549,155,W009,S042,625,190
I00550,155,W010,S023,398,111
I00551,156,W001,S011,624,135
I00552,156,W002,S043,606,184
I00553,156,W003,S011,630,34
I00554,156,W004,S008,747,31
I00555,156,W005,S049,765,70
I00556,156,W006,S048,159,67
I00557,156,W007,S026,538,61
I00558,156,W008,S029,529,57
I00559,156,W009,S038,559,88
I00560,156,W010,S006,780,88
I00561,157,W001,S018,917,88
I00562,157,W002,S032,940,46
I00563,157,W003,S024,358,120
I00564,157,W004,S009,710,78
I00565,157,W005,S015,651,36
I00566,157,W006,S002,821,150
I00567,157,W007,S047,974,188
I00568,157,W008,S010,835,118
I00569,157,W009,S007,912,110
I00570,157,W010,S034,717,63
I00571,158,W001,S004,411,80
I00572,158,W002,S017,84,103
I00573,158,W003,S035,811,137
I00574,158,W004,S015,342,84
I00575,158,W005,S020,995,155
I00576,158,W006,S024,792,87
I00577,158,W007,S013,552,176
I00578,158,W008,S036,199,26
I00579,158,W009,S014,421,106
I00580,158,W010,S046,292,136
I00581,159,W001,S034,597,92
I00582,159,W002,S019,338,183
I00583,159,W003,S039,300,94
I00584,159,W004,S002,465,54
I00585,159,W005,S044,798,126
I00586,159,W006,S049,757,189
I00587,159,W007,S035,294,157
I00588,159,W008,S002,861,143
I00589,159,W009,S034,951,104
I00590,159,W010,S020,626,149
I00591,160,W001,S014,155,148
I00592,160,W002,S027,544,42
I00593,160,W003,S003,399,32
I00594,160,W004,S024,493,27
I00595,160,W005,S015,100,59
I00596,160,W006,S049,572,109
I00597,160,W007,S023,813,141
I00598,160,W008,S005,493,172
I00599,160,W009,S026,340,161
I00600,160,W010,S024,85,130
I00601,161,W001,S045,526,200
I00602,161,W002,S045,890,96
I00603,161,W003,S011,554,165
I00604,161,W004,S042,810,26
I00605,161,W005,S043,725,70
I00606,161,W006,S010,988,195
I00607,161,W007,S047,613,195
I00608,161,W008,S042,906,67
I00609,161,W009,S021,973,121
I00610,161,W010,S040,300,82
I00611,162,W001,S042,998,91
I00612,162,W002,S003,830,93
I00613,162,W003,S018,525,55
I00614,162,W004,S018,259,142
I00615,162,W005,S004,811,80
I00616,162,W006,S040,969,160
I00617,162,W007,S027,116,82
I00618,162,W008,S030,942,28
I00619,162,W009,S008,375,60
I00620,162,W010,S024,229,136
I00621,163,W001,S013,856,23
I00622,163,W002,S026,436,183
I00623,163,W003,S032,570,100
I00624,163,W004,S015,431,144
I00625,163,W005,S022,969,182
I00626,163,W006,S013,371,37
I00627,163,W007,S002,172,186
I00628,163,W008,S010,109,186
I00629,163,W009,S007,915,82
I00630,163,W010,S031,84,150
I00631,164,W001,S009,880,94
I00632,164,W002,S018,103,178
I00633,164,W003,S003,503,99
I00634,164,W004,S033,860,119
I00635,164,W005,S037,698,185
I00636,164,W006,S015,427,104
I00637,164,W007,S046,547,78
I00638,164,W008,S018,515,171
I00639,164,W009,S035,94,126
I00640,164,W010,S007,992,130
I00641,165,W001,S040,595,72
I00642,165,W002,S043,213,60
I00643,165,W003,S009,927,89
I00644,165,W004,S015,884,115
I00645,165,W005,S009,567,54
I00646,165,W006,S004,508,109
I00647,165,W007,S043,105,182
I00648,165,W008,S019,827,50
I00649,165,W009,S005,951,41
I00650,165,W010,S017,383,40
I00651,166,W001,S005,726,54
I00652,166,W002,S027,298,90
I00653,166,W003,S033,288,47
I00654,166,W004,S015,121,151
I00655,166,W005,S039,554,36
I00656,166,W006,S039,575,87
I00657,166,W007,S006,886,100
I00658,166,W008,S027,370,107
I00659,166,W009,S036,765,60
I00660,166,W010,S046,159,198
I00661,167,W001,S010,785,151
I00662,167,W002,S019,889,135
I00663,167,W003,S018,342,113
I00664,167,W004,S020,295,119
I00665,167,W005,S029,524,173
I00666,167,W006,S025,739,62
I00667,167,W007,S025,639,168
I00668,167,W008,S001,194,83
I00669,167,W009,S010,299,183
I00670,167,W010,S006,789,179
I00671,168,W001,S048,725,98
I00672,168,W002,S037,311,146
I00673,168,W003,S034,940,142
I00674,168,W004,S019,572,132
I00675,168,W005,S045,121,160
I00676,168,W006,S038,520,92
I00677,168,W007,S035,167,180
I00678,168,W008,S018,498,90
I00679,168,W009,S024,959,125
I00680,168,W010,S023,256,52
I00681,169,W001,S007,354,99
I00682,169,W002,S003,389,178
I00683,169,W003,S042,327,26
I00684,169,W004,S009,256,21
I00685,169,W005,S044,440,53
I00686,169,W006,S029,324,157
I00687,169,W007,S004,208,190
I00688,169,W008,S019,623,54
I00689,169,W009,S033,341,199
I00690,169,W010,S002,842,178
I00691,170,W001,S002,243,76
I00692,170,W002,S023,977,98
I00693,170,W003,S014,845,37
I00694,170,W004,S048,890,52
I00695,170,W005,S034,381,128
I00696,170,W006,S034,431,191
I00697,170,W007,S047,532,172
I00698,170,W008,S019,460,66
I00699,170,W009,S019,79,118
I00700,170,W010,S038,108,196
I00701,171,W001,S034,476,135
I00702,171,W002,S005,453,142
I00703,171,W003,S003,786,54
I00704,171,W004,S017,233,67
I00705,171,W005,S018,376,87
I00706,171,W006,S042,416,115
I00707,171,W007,S028,612,154
I00708,171,W008,S032,611,37
I00709,171,W009,S042,57,60
I00710,171,W010,S050,463,178
I00711,172,W001,S013,128,70
I00712,172,W002,S001,148,112
I00713,172,W003,S041,833,195
I00714,172,W004,S049,93,48
I00715,172,W005,S038,510,77
I00716,172,W006,S021,146,177
I00717,172,W007,S045,820,118
I00718,172,W008,S027,146,65
I00719,172,W009,S028,478,191
I00720,172,W010,S041,612,189
I00721,173,W001,S008,521,107
I00722,173,W002,S008,283,181
I00723,173,W003,S019,232,160
I00724,173,W004,S047,241,173
I00725,173,W005,S044,93,25
I00726,173,W006,S049,833,120
I00727,173,W007,S015,499,56
I00728,173,W008,S003,365,33
I00729,173,W009,S029,951,137
I00730,173,W010,S032,478,85
I00731,174,W001,S002,769,23
I00732,174,W002,S027,639,167
I00733,174,W003,S008,402,45
I00734,174,W004,S029,134,40
I00735,174,W005,S005,816,198
I00736,174,W006,S006,235,186
I00737,174,W007,S037,527,195
I00738,174,W008,S050,839,75
I00739,174,W009,S024,857,129
I00740,174,W010,S020,615,148
I00741,175,W001,S042,388,139
I00742,175,W002,S014,965,42
I00743,175,W003,S008,846,89
I00744,175,W004,S009,777,114
I00745,175,W005,S046,266,99
I00746,175,W006,S048,189,149
I00747,175,W007,S002,618,142
I00748,175,W008,S045,593,93
I00749,175,W009,S046,725,76
I00750,175,W010,S046,551,143
I00751,176,W001,S024,328,27
I00752,176,W002,S032,239,22
I00753,176,W003,S004,552,184
I00754,176,W004,S023,518,105
I00755,176,W005,S020,353,89
I00756,176,W006,S021,295,151
I00757,176,W007,S011,199,89
I00758,176,W008,S037,840,200
I00759,176,W009,S013,484,153
I00760,176,W010,S007,410,189
I00761,177,W001,S043,717,100
I00762,177,W002,S034,523,35
I00763,177,W003,S027,323,50
I00764,177,W004,S013,741,62
I00765,177,W005,S045,510,145
I00766,177,W006,S043,505,105
I00767,177,W007,S039,736,23
I00768,177,W008,S036,839,116
I00769,177,W009,S031,245,173
I00770,177,W010,S010,82,68
I00771,178,W001,S047,748,127
I00772,178,W002,S001,829,187
I00773,178,W003,S018,682,96
I00774,178,W004,S042,190,137
I00775,178,W005,S045,362,48
I00776,178,W006,S034,383,136
I00777,178,W007,S003,935,100
I00778,178,W008,S023,823,193
I00779,178,W009,S045,646,48
I00780,178,W010,S027,242,189
I00781,179,W001,S029,705,95
I00782,179,W002,S012,445,119
I00783,179,W003,S040,324,27
I00784,179,W004,S006,68,96
I00785,179,W005,S019,614,63
I00786,179,W006,S027,889,120
I00787,179,W007,S030,626,42
I00788,179,W008,S034,296,74
I00789,179,W009,S032,688,182
I00790,179,W010,S032,137,100
I00791,180,W001,S021,911,124
I00792,180,W002,S050,935,42
I00793,180,W003,S044,461,61
I00794,180,W004,S040,882,171
I00795,180,W005,S031,792,67
I00796,180,W006,S025,617,85
I00797,180,W007,S016,855,77
I00798,180,W008,S047,156,189
I00799,180,W009,S001,785,49
I00800,180,W010,S045,795,150
I00801,181,W001,S036,434,150
I00802,181,W002,S040,586,187
I00803,181,W003,S044,781,148
I00804,181,W004,S017,447,69
I00805,181,W005,S038,973,73
I00806,181,W006,S003,974,24
I00807,181,W007,S017,876,49
I00808,181,W008,S038,61,107
I00809,181,W009,S010,980,121
I00810,181,W010,S040,279,180
I00811,182,W001,S038,463,59
I00812,182,W002,S004,534,135
I00813,182,W003,S043,87,94
I00814,182,W004,S039,916,85
I00815,182,W005,S027,160,169
I00816,182,W006,S024,908,61
I00817,182,W007,S007,779,163
I00818,182,W008,S002,214,75
I00819,182,W009,S039,605,49
I00820,182,W010,S009,294,70
I00821,183,W001,S039,362,64
I00822,183,W002,S015,589,128
I00823,183,W003,S023,773,81
I00824,183,W004,S033,754,181
I00825,183,W005,S032,660,92
I00826,183,W006,S004,914,57
I00827,183,W007,S014,670,146
I00828,183,W008,S016,373,184
I00829,183,W009,S017,698,196
I00830,183,W010,S034,275,154
I00831,184,W001,S030,126,45
I00832,184,W002,S032,128,121
I00833,184,W003,S045,363,66
I00834,184,W004,S036,313,67
I00835,184,W005,S009,679,46
I00836,184,W006,S043,889,26
I00837,184,W007,S008,805,177
I00838,184,W008,S021,516,155
I00839,184,W009,S020,788,82
I00840,184,W010,S041,538,121
I00841,185,W001,S018,252,113
I00842,185,W002,S026,658,81
I00843,185,W003,S002,723,64
I00844,185,W004,S022,93,158
I00845,185,W005,S007,153,163
I00846,185,W006,S044,313,56
I00847,185,W007,S011,232,122
I00848,185,W008,S049,768,35
I00849,185,W009,S040,813,152
I00850,185,W010,S047,561,119
I00851,186,W001,S040,566,21
I00852,186,W002,S046,508,119
I00853,186,W003,S044,277,76
I00854,186,W004,S017,153,75
I00855,186,W005,S022,405,72
I00856,186,W006,S019,930,58
I00857,186,W007,S030,781,27
I00858,186,W008,S015,200,185
I00859,186,W009,S030,263,39
I00860,186,W010,S031,709,100
I00861,187,W001,S050,950,83
I00862,187,W002,S017,215,108
I00863,187,W003,S016,910,35
I00864,187,W004,S044,588,27
I00865,187,W005,S037,436,178
I00866,187,W006,S040,721,54
I00867,187,W007,S039,682,141
I00868,187,W008,S040,660,197
I00869,187,W009,S025,723,144
