Order_ID,Order_Date,Product_ID,Warehouse_ID,Quantity,Unit_Price,Total_Amount
O000092,2025-03-27,408,W010,8,13004,104032
O000093,2025-10-11,192,W004,9,5685,51165
O000094,2025-10-10,158,W003,2,31778,63556
O000095,2025-05-29,116,W001,6,46043,276258
O000096,2025-01-01,309,W004,9,27897,251073
O000097,2025-05-25,210,W005,2,26230,52460
O000098,2025-12-28,122,W001,4,39812,159248
O000099,2025-07-01,499,W007,2,60248,120496
O000100,2025-08-19,390,W010,8,17277,138216
O000101,2025-10-24,277,W003,8,53837,430696
O000102,2025-10-02,339,W003,3,49670,149010
O000103,2025-02-22,373,W010,2,50120,100240
O000104,2025-01-17,529,W010,8,26074,208592
O000105,2025-05-19,603,W001,6,2469,14814
O000106,2025-05-14,266,W007,8,46293,370344
O000107,2025-12-09,344,W008,2,49277,98554
O000108,2025-06-30,339,W006,3,49670,149010
O000109,2025-05-15,319,W008,5,17518,87590
O000110,2025-05-19,413,W005,10,36855,368550
O000111,2025-07-02,102,W004,1,6538,6538
O000112,2025-03-24,143,W010,6,1834,11004
O000113,2025-05-03,450,W002,10,55475,554750
O000114,2025-09-12,113,W009,4,53649,214596
O000115,2025-01-16,518,W008,8,48138,385104
O000116,2025-03-02,392,W008,9,37096,333864
O000117,2025-10-21,112,W009,7,39194,274358
O000118,2025-03-03,588,W006,8,34399,275192
O000119,2025-02-16,313,W007,6,66746,400476
O000120,2025-03-29,361,W009,7,38332,268324
O000121,2025-02-15,230,W007,6,14848,89088
O000122,2025-01-01,649,W002,1,42373,42373
O000123,2025-10-25,395,W010,2,26200,52400
O000124,2025-09-20,246,W010,10,59925,599250
O000125,2025-11-07,464,W008,9,49331,443979
O000126,2025-12-28,115,W007,1,37862,37862
O000127,2025-02-22,112,W006,8,39194,313552
O000128,2025-10-14,262,W006,9,47906,431154
O000129,2025-03-17,179,W004,8,8909,71272
O000130,2025-12-20,496,W005,2,57358,114716
O000131,2025-01-13,133,W007,1,12332,12332
O000132,2025-01-27,317,W008,2,6032,12064
O000133,2025-01-28,243,W004,5,52731,263655
O000134,2025-11-19,284,W006,4,42514,170056
O000135,2025-06-01,630,W010,3,56994,170982
O000136,2025-09-29,239,W010,9,29301,263709
O000137,2025-06-27,270,W003,1,15622,15622
O000138,2025-08-16,505,W007,10,29508,295080
O000139,2025-08-01,181,W010,4,15972,63888
O000140,2025-06-07,337,W009,3,1484,4452
O000141,2025-06-02,554,W002,6,37991,227946
O000142,2025-03-30,302,W002,1,52069,52069
O000143,2025-11-14,410,W003,1,52537,52537
O000144,2025-02-22,386,W006,7,57794,404558
O000145,2025-10-28,222,W001,9,55820,502380
O000146,2025-02-11,399,W002,10,37556,375560
O000147,2025-01-18,498,W003,7,56972,398804
O000148,2025-04-08,396,W002,4,10317,41268
O000149,2025-01-24,584,W006,6,53801,322806
O000150,2025-01-26,450,W010,5,55475,277375
O000151,2025-03-09,348,W009,1,17728,17728
O000152,2025-07-16,564,W007,9,9845,88605
O000153,2025-09-26,642,W009,7,38439,269073
O000154,2025-01-13,511,W006,5,7070,35350
O000155,2025-10-26,459,W010,10,55128,551280
O000156,2025-11-22,219,W009,5,4340,21700
O000157,2025-03-27,368,W008,5,2322,11610
O000158,2025-11-11,234,W009,6,31640,189840
O000159,2025-01-15,120,W004,8,28016,224128
O000160,2025-03-16,315,W004,4,21310,85240
O000161,2025-12-30,334,W006,5,681,3405
O000162,2025-10-10,256,W002,9,32255,290295
O000163,2025-07-02,380,W001,8,8301,66408
O000164,2025-02-02,487,W010,8,20815,166520
O000165,2025-07-12,527,W008,5,62372,311860
O000166,2025-09-28,616,W006,10,45372,453720
O000167,2025-12-13,449,W008,10,39055,390550
O000168,2025-12-18,117,W002,5,29091,145455
O000169,2025-06-19,633,W004,1,42516,42516
O000170,2025-10-25,361,W009,10,38332,383320
O000171,2025-12-01,435,W006,6,37406,224436
O000172,2025-12-22,116,W004,6,46043,276258
O000173,2025-10-27,578,W004,2,15277,30554
O000174,2025-01-23,645,W003,4,30995,123980
O000175,2025-10-03,594,W010,8,61600,492800
O000176,2025-12-17,633,W010,7,42516,297612
O000177,2025-11-30,381,W007,3,44668,134004
O000178,2025-07-29,381,W009,4,44668,178672
O000179,2025-06-09,109,W005,2,17253,34506
O000180,2025-09-24,116,W002,3,46043,138129
O000181,2025-12-11,483,W005,4,28543,114172
O000182,2025-06-29,113,W005,10,53649,536490
O000183,2025-08-16,105,W003,1,56011,56011
O000184,2025-08-31,242,W007,3,53767,161301
O000185,2025-10-12,397,W004,3,67956,203868
O000186,2025-06-22,627,W006,5,35044,175220
O000187,2025-05-21,307,W001,10,16817,168170
O000188,2025-05-31,256,W009,4,32255,129020
O000189,2025-09-18,401,W004,4,41488,165952
O000190,2025-05-19,484,W003,4,39937,159748
O000191,2025-11-16,391,W008,5,57251,286255
O000192,2025-10-01,635,W004,8,16799,134392
O000193,2025-10-26,352,W005,4,10094,40376
O000194,2025-11-02,278,W006,5,55898,279490
O000195,2025-06-25,637,W009,6,29393,176358
O000196,2025-09-02,237,W005,10,37590,375900
O000197,2025-12-13,487,W003,2,20815,41630
O000198,2025-09-07,231,W005,7,60750,425250
O000199,2025-08-16,361,W008,3,38332,114996
O000200,2025-09-11,480,W003,8,43298,346384
O000201,2025-12-24,183,W003,9,15402,138618
O000202,2025-04-25,366,W003,6,11937,71622
O000203,2025-11-02,452,W001,3,37171,111513
O000204,2025-10-19,604,W003,2,32302,64604
O000205,2025-08-26,271,W009,1,7478,7478
O000206,2025-09-23,137,W010,6,22400,134400
O000207,2025-08-30,588,W003,1,34399,34399
O000208,2025-10-16,266,W008,8,46293,370344
O000209,2025-05-31,191,W007,9,20662,185958
O000210,2025-11-30,382,W003,5,35726,178630
O000211,2025-08-15,464,W001,1,49331,49331
O000212,2025-07-09,585,W003,5,54039,270195
O000213,2025-04-13,426,W008,3,56953,170859
O000214,2025-11-28,549,W008,10,20194,201940
O000215,2025-04-20,557,W006,5,56060,280300
O000216,2025-11-14,264,W006,2,41136,82272
O000217,2025-09-27,551,W008,1,42427,42427
O000218,2025-02-03,596,W001,7,35808,250656
O000219,2025-08-29,128,W002,10,59989,599890
O000220,2025-06-28,434,W004,3,47905,143715
O000221,2025-03-09,162,W009,7,28488,199416
O000222,2025-11-18,182,W001,1,2117,2117
O000223,2025-01-25,510,W003,9,44418,399762
O000224,2025-08-08,419,W003,9,28140,253260
O000225,2025-11-23,476,W005,8,18522,148176
O000226,2025-05-15,505,W009,8,29508,236064
O000227,2025-11-26,276,W005,2,763,1526
O000228,2025-10-19,159,W009,2,18767,37534
O000229,2025-06-06,505,W008,9,29508,265572
O000230,2025-05-20,564,W007,5,9845,49225
O000231,2025-10-26,183,W008,10,15402,154020
O000232,2025-03-24,140,W003,6,1337,8022
O000233,2025-06-26,457,W008,3,57039,171117
O000234,2025-11-03,221,W002,1,17704,17704
O000235,2025-02-21,424,W003,4,47861,191444
O000236,2025-10-04,323,W004,1,20015,20015
O000237,2025-04-15,648,W006,6,42068,252408
O000238,2025-10-07,643,W010,8,16519,132152
O000239,2025-09-23,391,W005,10,57251,572510
O000240,2025-02-19,386,W001,5,57794,288970
O000241,2025-11-12,569,W008,2,34672,69344
O000242,2025-10-24,444,W007,1,58285,58285
O000243,2025-01-01,500,W005,6,53830,322980
O000244,2025-10-07,510,W001,4,44418,177672
O000245,2025-09-18,340,W004,5,45378,226890
O000246,2025-01-29,139,W003,7,13402,93814
O000247,2025-04-27,468,W004,7,45077,315539
O000248,2025-05-24,338,W007,10,55703,557030
O000249,2025-05-13,280,W005,3,34028,102084
O000250,2025-11-06,217,W005,10,14869,148690
O000251,2025-09-03,554,W005,5,37991,189955
O000252,2025-12-17,233,W005,5,5515,27575
O000253,2025-04-17,265,W002,2,15561,31122
O000254,2025-10-07,135,W006,1,11183,11183
O000255,2025-05-22,306,W005,1,6895,6895
O000256,2025-03-22,228,W008,6,10386,62316
O000257,2025-07-28,200,W005,2,48400,96800
O000258,2025-04-25,532,W003,4,50456,201824
O000259,2025-07-11,133,W002,1,12332,12332
O000260,2025-11-15,236,W004,6,10344,62064
O000261,2025-11-19,229,W007,7,32564,227948
O000262,2025-09-11,109,W002,3,17253,51759
O000263,2025-08-03,408,W007,10,13004,130040
O000264,2025-12-31,370,W010,7,23729,166103
O000265,2025-05-27,355,W008,9,2736,24624
O000266,2025-10-09,593,W006,8,25720,205760
O000267,2025-05-26,368,W004,4,2322,9288
O000268,2025-08-09,476,W003,2,18522,37044
O000269,2025-09-28,193,W006,1,55259,55259
O000270,2025-12-28,313,W010,1,66746,66746
O000271,2025-04-20,390,W002,9,17277,155493
O000272,2025-08-19,275,W003,3,15199,45597
O000273,2025-12-30,240,W005,2,37830,75660
O000274,2025-02-09,638,W005,3,36598,109794
O000275,2025-01-17,262,W004,8,47906,383248
O000276,2025-09-30,569,W009,2,34672,69344
O000277,2025-07-19,344,W009,5,49277,246385
O000278,2025-07-08,195,W001,10,11382,113820
O000279,2025-11-24,133,W005,7,12332,86324
O000280,2025-01-22,504,W005,5,44738,223690
O000281,2025-01-24,299,W010,10,44881,448810
O000282,2025-07-16,177,W010,1,48746,48746
O000283,2025-09-07,285,W002,9,47520,427680
O000284,2025-01-08,650,W002,3,21812,65436
O000285,2025-11-22,438,W001,9,18009,162081
O000286,2025-03-12,152,W002,4,12206,48824
O000287,2025-04-26,479,W003,10,45256,452560
O000288,2025-09-13,220,W010,5,12471,62355
O000289,2025-12-10,463,W007,1,33061,33061
O000290,2025-11-14,307,W010,8,16817,134536
O000291,2025-06-24,643,W006,7,16519,115633
O000292,2025-06-23,361,W001,9,38332,344988
O000293,2025-12-21,423,W004,7,5769,40383
O000294,2025-07-31,618,W006,9,2595,23355
O000295,2025-09-04,275,W002,4,15199,60796
O000296,2025-06-10,145,W001,2,61369,122738
O000297,2025-01-31,542,W009,4,30325,121300
O000298,2025-03-15,382,W008,10,35726,357260
O000299,2025-10-07,134,W002,3,31264,93792
O000300,2025-11-17,484,W005,10,39937,399370
O000301,2025-01-07,389,W009,4,64271,257084
O000302,2025-05-24,397,W010,7,67956,475692
O000303,2025-10-02,381,W006,3,44668,134004
O000304,2025-05-01,410,W005,2,52537,105074
O000305,2025-06-10,397,W005,9,67956,611604
O000306,2025-01-17,538,W005,7,8733,61131
O000307,2025-12-21,409,W004,6,22022,132132
O000308,2025-10-19,318,W002,8,48115,384920
O000309,2025-12-25,356,W008,2,34368,68736
O000310,2025-03-23,210,W007,3,26230,78690
O000311,2025-10-22,268,W004,2,27491,54982
O000312,2025-06-21,133,W002,10,12332,123320
O000313,2025-02-20,137,W009,1,22400,22400
O000314,2025-08-25,544,W005,6,39431,236586
O000315,2025-09-12,379,W001,1,36429,36429
O000316,2025-12-16,421,W007,4,67460,269840
O000317,2025-07-11,500,W004,6,53830,322980
O000318,2025-01-14,330,W006,6,990,5940
O000319,2025-01-03,586,W002,1,31873,31873
O000320,2025-10-06,300,W001,3,13380,40140
O000321,2025-05-23,315,W007,7,21310,149170
O000322,2025-06-10,521,W007,6,57767,346602
O000323,2025-06-23,615,W009,9,49055,441495
O000324,2025-11-25,213,W010,10,12983,129830
O000325,2025-04-08,586,W002,1,31873,31873
O000326,2025-06-12,569,W006,3,34672,104016
O000327,2025-11-09,321,W002,8,64651,517208
O000328,2025-06-13,234,W001,5,31640,158200
O000329,2025-09-07,364,W008,2,50257,100514
O000330,2025-07-24,220,W009,10,12471,124710
O000331,2025-07-26,531,W002,2,53235,106470
O000332,2025-03-08,131,W004,7,40188,281316
O000333,2025-12-05,314,W001,1,25231,25231
O000334,2025-02-12,358,W010,8,9812,78496
O000335,2025-12-04,552,W005,7,17970,125790
O000336,2025-07-17,518,W001,6,48138,288828
O000337,2025-01-23,172,W001,4,33183,132732
O000338,2025-12-27,635,W004,8,16799,134392
O000339,2025-02-07,342,W010,10,36763,367630
O000340,2025-03-18,594,W005,8,61600,492800
O000341,2025-01-23,455,W010,3,18608,55824
O000342,2025-03-22,554,W005,7,37991,265937
O000343,2025-03-28,195,W003,7,11382,79674
O000344,2025-07-31,330,W009,2,990,1980
O000345,2025-06-14,303,W007,5,65352,326760
O000346,2025-12-30,275,W008,8,15199,121592
O000347,2025-09-08,613,W007,6,29752,178512
O000348,2025-08-19,512,W008,6,14141,84846
O000349,2025-04-29,325,W007,6,11990,71940
O000350,2025-03-19,313,W007,9,66746,600714
O000351,2025-07-27,165,W002,3,14337,43011
O000352,2025-08-25,489,W006,8,53941,431528
O000353,2025-03-04,162,W003,2,28488,56976
O000354,2025-11-09,409,W003,10,22022,220220
O000355,2025-08-11,127,W002,8,39363,314904
O000356,2025-04-06,493,W002,3,49432,148296
O000357,2025-03-16,292,W004,5,25146,125730
O000358,2025-07-04,573,W007,7,39356,275492
O000359,2025-12-27,136,W010,4,67375,269500
O000360,2025-08-23,357,W009,9,10728,96552
O000361,2025-04-04,353,W001,3,53387,160161
O000362,2025-02-20,316,W003,3,45151,135453
O000363,2025-05-09,574,W006,10,44220,442200
O000364,2025-10-30,297,W006,7,33679,235753
O000365,2025-05-01,310,W004,4,8705,34820
O000366,2025-05-23,136,W006,4,67375,269500
O000367,2025-05-17,462,W010,6,40688,244128
O000368,2025-12-26,543,W007,4,13096,52384
O000369,2025-02-19,356,W002,1,34368,34368
O000370,2025-11-24,354,W002,4,53894,215576
O000371,2025-01-01,185,W004,6,22158,132948
O000372,2025-03-01,516,W002,7,45831,320817
O000373,2025-06-05,307,W001,7,16817,117719
O000374,2025-09-21,347,W003,2,35750,71500
O000375,2025-06-19,637,W005,2,29393,58786
O000376,2025-05-31,160,W006,10,4663,46630
O000377,2025-09-04,307,W004,4,16817,67268
O000378,2025-01-13,641,W003,6,27365,164190
O000379,2025-01-18,477,W008,6,30981,185886
O000380,2025-08-31,279,W005,4,12192,48768
O000381,2025-07-13,541,W003,1,11580,11580
O000382,2025-07-27,270,W008,8,15622,124976
O000383,2025-08-04,569,W004,4,34672,138688
O000384,2025-01-26,321,W002,10,64651,646510
O000385,2025-08-28,566,W010,1,34715,34715
O000386,2025-04-20,528,W006,9,44290,398610
O000387,2025-01-22,638,W001,10,36598,365980
O000388,2025-10-05,368,W005,6,2322,13932
O000389,2025-10-31,590,W002,7,48996,342972
O000390,2025-07-29,538,W004,6,8733,52398
O000391,2025-02-11,283,W006,7,52408,366856
O000392,2025-01-02,460,W009,1,29824,29824
O000393,2025-05-21,337,W003,4,1484,5936
O000394,2025-10-05,344,W010,2,49277,98554
O000395,2025-05-01,473,W009,10,11607,116070
O000396,2026-01-01,457,W007,5,57039,285195
O000397,2025-05-14,136,W010,3,67375,202125
O000398,2025-04-11,342,W003,9,36763,330867
O000399,2025-02-10,265,W002,3,15561,46683
O000400,2025-07-26,518,W010,1,48138,48138
O000401,2025-12-20,268,W001,6,27491,164946
O000402,2025-02-02,482,W001,10,51750,517500
O000403,2025-07-13,580,W001,7,34609,242263
O000404,2025-01-14,309,W002,10,27897,278970
O000405,2025-02-13,631,W002,5,44645,223225
O000406,2025-11-24,336,W002,7,32327,226289
O000407,2025-12-25,139,W007,3,13402,40206
O000408,2025-05-26,423,W002,10,5769,57690
O000409,2025-09-21,607,W009,3,22229,66687
O000410,2025-10-07,403,W006,10,45807,458070
O000411,2025-01-05,196,W003,6,47762,286572
O000412,2025-09-12,344,W005,4,49277,197108
O000413,2025-05-16,309,W002,5,27897,139485
O000414,2025-08-30,531,W009,10,53235,532350
O000415,2025-06-06,640,W007,5,35519,177595
O000416,2025-07-29,495,W010,1,53352,53352
O000417,2025-02-27,598,W003,7,55839,390873
O000418,2025-05-31,413,W009,4,36855,147420
O000419,2025-05-01,345,W003,1,8895,8895
O000420,2025-04-09,239,W002,3,29301,87903
O000421,2025-12-27,454,W002,3,49099,147297
O000422,2025-09-21,412,W010,3,6581,19743
O000423,2025-05-07,569,W001,5,34672,173360
O000424,2025-11-11,339,W006,2,49670,99340
O000425,2025-02-24,271,W005,10,7478,74780
O000426,2025-03-03,549,W010,4,20194,80776
O000427,2025-02-07,459,W003,2,55128,110256
O000428,2025-09-28,159,W005,3,18767,56301
O000429,2025-09-02,449,W005,1,39055,39055
O000430,2025-10-25,110,W005,3,56110,168330
O000431,2025-08-13,492,W003,4,32018,128072
O000432,2025-11-12,108,W005,5,32818,164090
O000433,2025-06-12,371,W007,3,22508,67524
O000434,2025-04-03,586,W008,4,31873,127492
O000435,2025-10-21,556,W004,7,8568,59976
O000436,2025-04-04,328,W005,7,58036,406252
O000437,2025-05-15,604,W001,6,32302,193812
O000438,2025-12-03,415,W001,7,44428,310996
O000439,2025-11-19,119,W009,6,7495,44970
O000440,2025-06-22,260,W007,1,7210,7210
O000441,2025-12-06,576,W006,5,25016,125080
O000442,2025-09-29,613,W009,6,29752,178512
O000443,2025-09-26,568,W003,6,9118,54708
O000444,2025-04-17,265,W003,6,15561,93366
O000445,2025-05-02,270,W004,9,15622,140598
O000446,2025-06-27,438,W005,4,18009,72036
O000447,2025-03-13,473,W007,1,11607,11607
O000448,2025-03-28,636,W008,2,9712,19424
O000449,2025-12-22,576,W004,7,25016,175112
O000450,2025-10-08,388,W001,6,6252,37512
O000451,2025-11-14,113,W007,4,53649,214596
O000452,2025-10-18,158,W004,4,31778,127112
O000453,2025-09-03,222,W001,5,55820,279100
O000454,2025-03-30,417,W001,7,34585,242095
O000455,2026-01-01,327,W009,4,7821,31284
O000456,2025-01-21,202,W009,6,11947,71682
O000457,2025-04-07,533,W005,3,24514,73542
O000458,2025-04-28,475,W007,8,63349,506792
O000459,2025-11-12,638,W005,2,36598,73196
O000460,2025-10-08,127,W004,3,39363,118089
O000461,2025-09-18,630,W005,8,56994,455952
O000462,2025-01-13,443,W007,8,44432,355456
O000463,2025-02-16,350,W001,2,7220,14440
O000464,2025-07-22,346,W001,3,43134,129402
O000465,2025-08-21,218,W006,8,30045,240360
O000466,2025-08-18,621,W002,6,38105,228630
O000467,2025-05-11,415,W007,2,44428,88856
O000468,2025-07-31,498,W003,2,56972,113944
O000469,2025-04-04,547,W001,9,44474,400266
O000470,2025-10-11,360,W003,1,13669,13669
O000471,2025-12-09,189,W010,5,19851,99255
O000472,2025-11-29,133,W005,2,12332,24664
O000473,2025-08-04,374,W001,2,25078,50156
O000474,2025-01-11,272,W006,4,38005,152020
O000475,2025-11-18,622,W001,6,50838,305028
O000476,2025-10-08,272,W005,5,38005,190025
O000477,2025-02-22,384,W008,4,54463,217852
O000478,2025-02-17,650,W009,2,21812,43624
O000479,2025-12-22,169,W008,10,6375,63750
O000480,2025-08-02,497,W005,9,38068,342612
O000481,2025-03-17,502,W006,7,10980,76860
O000482,2025-02-05,463,W008,3,33061,99183
O000483,2025-11-14,579,W001,8,40057,320456
O000484,2025-08-25,196,W010,6,47762,286572
O000485,2025-08-25,315,W001,5,21310,106550
O000486,2025-04-06,148,W010,5,2362,11810
O000487,2025-10-18,385,W003,8,44126,353008
O000488,2025-01-11,293,W004,3,31420,94260
O000489,2025-04-13,480,W002,6,43298,259788
O000490,2025-12-05,610,W005,2,57313,114626
O000491,2025-09-24,382,W005,10,35726,357260
O000492,2025-08-25,532,W009,7,50456,353192
O000493,2025-04-26,444,W009,1,58285,58285
O000494,2025-09-02,291,W004,7,63408,443856
O000495,2025-08-21,524,W003,8,41988,335904
O000496,2025-12-09,490,W008,2,22241,44482
O000497,2025-08-30,506,W002,5,63315,316575
O000498,2025-01-15,553,W005,9,41208,370872
O000499,2025-04-24,289,W009,8,9984,79872
O000500,2025-02-05,567,W007,2,23722,47444
O000501,2025-02-01,438,W003,7,18009,126063
O000502,2025-05-08,170,W002,7,6139,42973
O000503,2025-06-11,641,W008,9,27365,246285
O000504,2025-12-14,564,W002,5,9845,49225
O000505,2025-06-27,625,W006,2,18900,37800
O000506,2025-01-13,503,W005,7,38984,272888
O000507,2025-02-13,304,W007,9,18934,170406
O000508,2025-09-17,523,W006,6,50310,301860
O000509,2025-08-24,301,W009,9,9063,81567
O000510,2025-03-25,168,W004,4,58139,232556
O000511,2025-03-30,465,W001,5,16105,80525
O000512,2025-04-30,181,W007,4,15972,63888
O000513,2025-12-18,233,W010,5,5515,27575
O000514,2025-04-24,366,W008,9,11937,107433
O000515,2025-01-21,392,W001,8,37096,296768
O000516,2025-05-10,229,W007,7,32564,227948
O000517,2025-07-24,361,W001,9,38332,344988
O000518,2025-07-13,425,W009,5,39975,199875
O000519,2025-11-14,443,W002,8,44432,355456
O000520,2025-01-30,262,W001,6,47906,287436
O000521,2025-11-21,538,W002,7,8733,61131
O000522,2025-03-02,340,W010,9,45378,408402
O000523,2025-04-26,541,W009,9,11580,104220
O000524,2025-08-07,294,W003,10,14512,145120
O000525,2025-01-21,197,W007,2,2666,5332
O000526,2025-12-24,251,W008,6,20494,122964
O000527,2025-12-21,167,W002,9,57088,513792
O000528,2025-02-23,243,W002,8,52731,421848
O000529,2025-12-19,563,W001,2,23463,46926
O000530,2025-01-04,425,W010,4,39975,159900
O000531,2025-08-18,506,W009,8,63315,506520
O000532,2025-12-07,594,W001,7,61600,431200
O000533,2025-06-08,489,W009,5,53941,269705
O000534,2025-11-19,599,W006,2,11153,22306
O000535,2025-08-21,119,W009,2,7495,14990
O000536,2025-02-13,345,W008,6,8895,53370
O000537,2025-09-07,120,W002,7,28016,196112
O000538,2025-04-30,235,W010,6,47706,286236
O000539,2025-06-07,540,W010,4,12556,50224
O000540,2025-02-04,388,W005,9,6252,56268
O000541,2025-12-17,225,W008,4,5619,22476
O000542,2025-10-01,322,W008,1,66285,66285
O000543,2026-01-01,637,W005,7,29393,205751
O000544,2025-11-15,142,W010,5,41432,207160
O000545,2025-08-19,184,W004,10,30660,306600
O000546,2025-07-15,540,W008,7,12556,87892
O000547,2025-11-26,556,W007,3,8568,25704
O000548,2025-11-23,101,W004,1,18203,18203
O000549,2025-05-06,471,W007,1,20635,20635
O000550,2025-03-06,452,W009,2,37171,74342
O000551,2025-04-02,414,W002,5,29697,148485
O000552,2025-03-27,631,W002,1,44645,44645
O000553,2025-10-05,189,W008,5,19851,99255
O000554,2025-04-01,545,W004,4,9271,37084
O000555,2025-04-29,638,W007,3,36598,109794
O000556,2025-09-12,527,W009,7,62372,436604
O000557,2025-08-04,123,W009,10,5038,50380
O000558,2025-02-16,197,W004,2,2666,5332
O000559,2025-11-26,277,W003,6,53837,323022
O000560,2025-11-26,491,W006,2,1461,2922
O000561,2025-04-30,468,W008,3,45077,135231
O000562,2025-09-29,591,W005,8,8853,70824
O000563,2025-11-10,548,W006,7,51935,363545
O000564,2025-10-12,336,W005,9,32327,290943
O000565,2025-07-19,290,W003,6,10974,65844
O000566,2025-09-22,539,W004,9,63741,573669
O000567,2025-02-13,200,W007,8,48400,387200
O000568,2025-09-25,136,W006,3,67375,202125
O000569,2025-04-24,586,W002,7,31873,223111
O000570,2025-05-15,151,W001,2,39836,79672
O000571,2025-01-17,190,W001,7,23666,165662
O000572,2025-04-05,143,W009,6,1834,11004
O000573,2025-10-20,124,W005,2,62186,124372
O000574,2025-06-08,622,W002,8,50838,406704
O000575,2025-12-11,291,W001,5,63408,317040
O000576,2025-05-30,280,W009,10,34028,340280
O000577,2025-04-12,103,W008,4,55459,221836
O000578,2025-06-20,543,W010,4,13096,52384
O000579,2025-04-11,268,W007,10,27491,274910
